Make	Model	Serial_Number	Comment	Measurement_Date	Measurement_Time	Intensity_Actual_(suns)	Intensity_Set_(suns)	Vmp_(V)	pVmp_(V)	Voc_(V)	pVoc_(V)	Imp_(A)	pImp_(A)	Isc_(A)	pIsc_(A)	Pmp_(W)	pPmp_(W)	FF	pFF	Efficiency_(%)	pEfficiency_(%)	Rs_(Ohm)	Rsh_(Ohm)
PANASONIC	VBHN240SA11	R0WF6GF08411	X	20190909	114857	1.000	1	42.45630093725141	46.174501052384045	52.468512652656806	52.46542272395347	5.615802439893734	5.731855780280092	6.036781470457985	6.037039409588855	238.42619839227913	264.66558075865663	0.7527482701023741	0.835603554071607	18.85134611436988	0.2092598255177194	0.8034998652995212	5875.978017058019
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20190909	115847	0.999	1	43.00215339562709	46.76312472580581	52.90868671360239	52.930929603140996	5.584769434901283	5.721960190868781	6.019891218205034	6.02020773229737	240.15711191883457	267.57673808169244	0.7540147246859283	0.8397061936307706	19.005442855945642	0.21175364595951035	0.8414145935483061	6734.88125002331
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20190909	120140	0.999	1	43.04987073054463	46.69431480425282	52.8959404227596	52.89637083476137	5.577219540529438	5.732134512801938	6.022852790327929	6.023142916143588	240.0985802556598	267.65809344109607	0.7536418394916133	0.8401006783475744	19.00390491007908	0.21185252119156361	0.8345513191134415	6833.762096052915
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20190909	120436	1.000	1	43.01735540038321	46.6996139148941	52.88795202713097	52.88647692504765	5.595608189335037	5.738444553487385	6.0312123586181015	6.031411847768579	240.70826616192005	267.98314511988775	0.7546222986348025	0.8401249023574653	19.024769440992245	0.21180483874817516	0.8387988980959178	6638.836219139075
PANASONIC	VBHN240SA11	R0WF6GF08413	X	20190909	121428	1.000	1	42.911448035702804	46.5421907120014	52.76674139202543	52.794685823860284	5.582568960769596	5.7759290713794265	6.06105151694175	6.061250256753915	239.55611786579192	268.8243923791344	0.7490296613020173	0.840071492893548	18.934371239223836	0.2124771802453787	0.8709594815609804	5716.393205324692
PANASONIC	VBHN240SA11	R0WF6GF08413	X	20190909	121721	0.999	1	42.850821758260686	46.68324870850652	52.74846200301201	52.74726295058727	5.579053353241844	5.754167648997779	6.0586650901856265	6.058868825094003	239.06702081959284	268.62323946860556	0.7480539523504005	0.8405278405633578	18.92759470440333	0.21267641966737352	0.8831309463582322	5768.899226829193
PANASONIC	VBHN240SA11	R0WF6GF08413	X	20190909	122016	1.000	1	42.88944636260824	46.67662897674114	52.74485206077292	52.74231059849042	5.588326878693739	5.762014934882927	6.066580387196583	6.066833450130647	239.68024592045703	268.95143327397165	0.7490455121792357	0.8405288767835516	18.95007638870194	0.2126437323117595	0.8741252010297492	5586.039558560921
PANASONIC	VBHN240SA11	R0WF6GF08414	X	20190909	122945	0.999	1	42.94219670298265	46.849339063324344	52.96304011412513	52.98725633632348	5.582097817351612	5.7278018241351605	6.038389364662071	6.038582171959614	239.70754248800304	268.3437297464358	0.749527686963279	0.8386582795567348	18.979970137008515	0.2124737471410913	0.8719466381815132	5185.8902344458465
PANASONIC	VBHN240SA11	R0WF6GF08414	X	20190909	123238	1.000	1	42.96084157053181	46.77272725935283	52.94627912511383	52.95067129543903	5.60480383640278	5.749926120633077	6.0532201887885755	6.053439747296713	240.78708964960876	268.9397262017996	0.7512963532314441	0.8390372920439034	19.037408578695608	0.21263247370100463	0.8656580593141009	4999.162924628105
PANASONIC	VBHN240SA11	R0WF6GF08414	X	20190909	123533	1.000	1	42.95106122926143	46.69275219953512	52.94714998217039	52.94699972108253	5.598220683838086	5.763423846923066	6.05653410057781	6.05683372311716	240.44951936644742	269.1101215052702	0.7498202386811585	0.8391566210301813	19.00689991018559	0.21272444868036192	0.8715816730953316	5042.805776925904
PANASONIC	VBHN240SA11	R0WF6GF08414	X	20200904	154404	0.999	1	43.163738875661295	46.80712110038895	52.8668857889739	52.85817330276622	5.552743536256928	5.752358686393014	6.044764129818659	6.045417366555379	239.67717204251014	269.2513496468721	0.7500040081885072	0.8425961087268468	18.963261689919488	0.21303171095543658	0.8823286068477068	5646.868304132564
PANASONIC	VBHN240SA11	R0WF6GF08414	X	20200904	154519	1.000	1	43.16339165379136	46.838892724871684	52.8154935233469	52.81392779448254	5.544929519599137	5.752776037132834	6.049520990654667	6.050052271334578	239.33796454712672	269.45365967347726	0.7490818302582036	0.8432891104470919	18.92273866892299	0.21303770987749615	0.9058974887679916	5701.023784571514
PANASONIC	VBHN240SA11	R0WF6GF08414	X	20200904	154641	0.999	1	43.03379718172275	46.85140630380064	52.82950024661778	52.82420402198829	5.558467117284339	5.745488528887011	6.0432239548086075	6.0438848709900554	239.20194656648934	269.18421748071114	0.7492375208000027	0.8431414661004792	18.9361166583798	0.21309624850367018	0.9103837572709044	5893.218934711823
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20200904	160805	1.000	1	43.04252153735387	46.611814068105545	52.731990621533136	52.70300154901985	5.553343781517917	5.738581698488695	6.027154223360018	6.027908608629291	239.02991932031512	267.4857031445884	0.752083038625389	0.8419737760136826	18.910047053822762	0.2116123055671023	0.8666340406289108	7354.89803961799
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20200904	160920	1.000	1	43.11885929880356	46.676904101391756	52.69052033145282	52.67705372676421	5.538194300054744	5.7305991307617745	6.027666913677917	6.028293631962733	238.80062079349634	267.4866260700863	0.7518889783758745	0.8423376215425715	18.888168835911113	0.21157116500668707	0.8627396231601885	7091.819984567389
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20200904	161042	1.000	1	42.98547988106522	46.665432767614824	52.674379331438864	52.668440180752	5.564173487310635	5.731917996168594	6.027887483594886	6.028548977447839	239.17866749354778	267.482433879687	0.7532824994845153	0.8424264927450736	18.918432955765063	0.21157189916756394	0.8625887613184482	6632.090130558269
PANASONIC	VBHN240SA11	R0WF6GF08411	X	20200904	173145	1.000	1	41.97291134965415	45.67499020428806	52.07022350940348	52.042079751310496	5.587758659378057	5.696252460105497	5.997515812290685	5.9981657907196615	234.53449885333748	260.1762753164703	0.7510102955863005	0.8334788475394075	18.55252238281827	0.2058087912390896	0.8012045123756286	6470.961830620632
